GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC03_EST_VC41,HC03_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC02_EST_VC48,HC02_MOE_VC48,HC03_EST_VC48,HC03_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC02_EST_VC49,HC02_MOE_VC49,HC03_EST_VC49,HC03_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC02_EST_VC50,HC02_MOE_VC50,HC03_EST_VC50,HC03_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC02_EST_VC51,HC02_MOE_VC51,HC03_EST_VC51,HC03_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC03_EST_VC53,HC03_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC03_EST_VC54,HC03_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC03_EST_VC55,HC03_MOE_VC55,HC01_EST_VC58,HC01_MOE_VC58,HC02_EST_VC58,HC02_MOE_VC58,HC03_EST_VC58,HC03_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC02_EST_VC59,HC02_MOE_VC59,HC03_EST_VC59,HC03_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC02_EST_VC60,HC02_MOE_VC60,HC03_EST_VC60,HC03_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC02_EST_VC61,HC02_MOE_VC61,HC03_EST_VC61,HC03_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC02_EST_VC62,HC02_MOE_VC62,HC03_EST_VC62,HC03_MOE_VC62,HC01_EST_VC65,HC01_MOE_VC65,HC02_EST_VC65,HC02_MOE_VC65,HC03_EST_VC65,HC03_MOE_VC65,HC01_EST_VC66,HC01_MOE_VC66,HC02_EST_VC66,HC02_MOE_VC66,HC03_EST_VC66,HC03_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC02_EST_VC67,HC02_MOE_VC67,HC03_EST_VC67,HC03_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC02_EST_VC68,HC02_MOE_VC68,HC03_EST_VC68,HC03_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC02_EST_VC69,HC02_MOE_VC69,HC03_EST_VC69,HC03_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC02_EST_VC70,HC02_MOE_VC70,HC03_EST_VC70,HC03_MOE_VC70
0500000US12057,12057,"Hillsborough County, Florida",634323,8153,330804,5413,303519,5214,88.9,0.7,88.9,0.9,88.9,1.0,80.1,0.9,79.5,1.2,80.6,1.1,8.9,0.7,9.4,0.9,8.3,0.9,6.6,0.6,6.4,0.8,6.7,0.8,1.3,0.3,1.4,0.5,1.3,0.3,1.0,0.2,1.5,0.4,0.3,0.1,1.06,0.01,1.06,0.01,1.05,0.01,1.7,0.3,1.3,0.4,2.0,0.4,1.4,0.3,1.7,0.3,1.2,0.4,0.6,0.2,0.7,0.2,0.5,0.2,1.0,0.2,1.1,0.3,0.9,0.3,6.4,0.6,6.3,0.7,6.5,0.8,99.3,0.2,99.0,0.3,99.6,0.2,87.8,0.7,86.1,1.0,89.5,1.0,11.6,0.7,12.9,0.9,10.1,1.0,0.7,0.2,1.0,0.3,0.4,0.2,93.9,0.7,93.0,0.9,94.8,0.6,30.4,0.9,29.6,1.3,31.2,1.1,63.5,1.1,63.5,1.4,63.5,1.2,6.1,0.7,7.0,0.9,5.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,593729,8666,310021,5160,283708,5453,3.5,0.4,4.5,0.6,2.4,0.5,3.2,0.4,4.3,0.6,2.0,0.5,4.1,0.5,5.2,0.7,3.0,0.6,9.7,0.8,11.7,1.1,7.6,0.7,10.1,0.7,10.3,1.0,9.8,0.9,16.8,0.9,16.0,1.3,17.6,1.2,10.4,0.7,9.1,0.8,11.8,1.1,12.0,0.8,11.5,1.0,12.7,1.1,5.8,0.6,5.0,0.6,6.6,0.8,24.4,1.0,22.4,1.2,26.6,1.4,8.9,0.7,9.0,1.0,8.7,0.8,11.5,0.8,10.6,1.0,12.5,1.1,14.2,0.7,13.7,0.9,14.9,1.2,16.4,0.9,16.5,1.2,16.3,1.1,6.8,0.5,6.9,0.8,6.7,0.8,16.2,0.9,16.1,1.2,16.3,1.2,8.1,0.6,8.1,0.9,8.1,0.8,10.1,0.8,10.1,1.0,10.2,0.9,7.7,0.7,9.0,1.0,6.3,0.7,27.2,0.5,28.1,0.7,26.3,0.6,631339,8178,329306,5396,302033,5328,3.0,0.4,3.1,0.6,2.8,0.6,25.5,1.0,23.7,1.2,27.4,1.5,46.4,1.5,47.1,1.7,45.6,1.9,25.2,1.3,26.1,1.5,24.1,1.5,9.4,,,,,,10.8,,,,,,11.8,,,,,,19.0,,,,,,15.5,,,,,,1.5,,,,,
0500000US12081,12081,"Manatee County, Florida",145681,5295,75032,3191,70649,3730,85.5,1.8,84.8,2.9,86.2,2.4,76.9,2.2,76.0,3.2,77.9,2.7,8.5,1.4,8.8,1.9,8.3,1.8,6.8,1.4,6.9,1.7,6.7,1.7,1.1,0.4,1.3,0.7,0.8,0.4,0.7,0.4,0.6,0.4,0.8,0.6,1.06,0.01,1.06,0.01,1.06,0.01,2.2,1.0,2.0,1.3,2.3,1.2,1.6,0.7,2.1,1.3,1.2,0.6,1.2,0.8,1.9,1.4,0.5,0.4,1.8,0.7,2.9,1.3,0.7,0.4,7.7,1.2,6.3,1.5,9.1,1.9,98.8,0.5,98.1,0.8,99.6,0.3,70.9,2.3,72.3,3.2,69.4,3.0,27.9,2.3,25.7,3.2,30.2,3.0,1.2,0.5,1.9,0.8,0.4,0.3,41.2,2.5,40.1,3.5,42.3,2.9,7.3,1.2,6.1,1.5,8.6,1.8,33.9,2.4,34.0,3.3,33.7,3.0,58.8,2.5,59.9,3.5,57.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,134494,5287,70293,3247,64201,3786,3.9,1.0,5.3,1.6,2.5,0.9,2.7,0.8,3.7,1.4,1.7,0.9,3.6,0.9,4.8,1.5,2.2,1.1,6.8,1.3,9.4,2.2,4.0,1.5,8.1,1.7,10.4,3.0,5.6,1.4,15.3,1.8,14.6,2.4,16.1,2.7,13.5,1.5,12.8,1.9,14.3,2.2,13.2,2.0,10.7,2.2,16.0,3.4,6.5,1.3,3.5,1.2,9.9,2.2,26.3,2.2,24.8,3.2,27.9,3.2,7.7,1.3,7.5,1.8,7.8,2.0,11.8,1.8,13.6,2.8,9.9,1.8,16.6,2.0,14.5,2.4,18.9,2.8,21.8,2.5,21.7,3.7,22.0,3.3,7.1,1.6,8.4,2.5,5.8,1.6,17.1,2.0,17.8,3.1,16.4,2.4,5.4,1.0,4.8,1.6,6.0,1.5,6.1,1.1,5.2,1.4,6.9,1.5,6.3,1.3,6.5,1.6,6.2,1.7,26.4,1.4,27.0,2.1,25.8,1.5,145194,5249,74684,3166,70510,3748,2.9,1.2,4.4,2.1,1.2,0.7,20.4,2.2,16.7,2.8,24.3,2.8,46.4,3.2,46.4,4.4,46.3,3.3,30.4,3.4,32.5,4.2,28.2,3.7,12.7,,,,,,13.6,,,,,,17.1,,,,,,28.5,,,,,,20.0,,,,,,0.4,,,,,
0500000US12103,12103,"Pinellas County, Florida",438579,6556,221122,4199,217457,4357,86.6,1.0,85.3,1.2,88.0,1.4,78.4,1.1,76.5,1.6,80.3,1.6,8.2,0.7,8.8,1.0,7.7,0.9,6.7,0.7,6.7,1.0,6.6,0.8,1.0,0.3,1.2,0.4,0.8,0.3,0.6,0.2,0.8,0.4,0.3,0.2,1.05,0.01,1.06,0.01,1.05,0.01,1.8,0.4,1.9,0.6,1.7,0.5,1.7,0.3,1.5,0.5,1.8,0.6,1.5,0.4,2.4,0.6,0.6,0.2,2.0,0.4,2.2,0.6,1.8,0.6,6.4,0.7,6.7,0.9,6.2,1.0,99.0,0.2,98.7,0.4,99.4,0.3,86.4,0.9,84.1,1.4,88.8,1.0,12.6,0.9,14.6,1.4,10.5,1.0,1.0,0.2,1.3,0.4,0.6,0.3,88.9,0.9,89.0,1.1,88.7,1.1,30.8,1.2,28.7,1.5,32.8,1.7,58.1,1.5,60.3,1.9,55.9,1.9,11.1,0.9,11.0,1.1,11.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,410421,6865,206360,4383,204061,4582,2.3,0.4,2.9,0.7,1.8,0.4,1.8,0.3,2.3,0.6,1.3,0.4,3.1,0.5,4.0,0.7,2.2,0.4,8.0,0.7,9.1,1.0,6.9,0.8,9.4,0.6,10.0,1.0,8.8,0.9,16.0,1.1,16.6,1.6,15.4,1.3,12.8,0.8,11.4,1.1,14.2,1.2,13.7,0.8,12.5,1.1,14.8,1.3,6.7,0.6,6.3,0.7,7.2,0.9,26.2,1.2,25.0,1.5,27.4,1.7,12.2,0.8,11.4,1.2,13.0,1.4,14.8,0.9,13.7,1.3,16.0,1.1,17.3,1.0,15.9,1.2,18.7,1.4,16.5,0.9,16.3,1.3,16.8,1.3,6.5,0.6,7.3,1.0,5.7,0.8,13.6,0.9,14.6,1.2,12.6,1.2,6.1,0.8,6.3,1.1,5.9,0.9,7.3,0.7,7.8,1.1,6.8,0.8,5.7,0.6,6.8,0.9,4.6,0.8,24.2,0.6,25.7,0.9,22.7,0.6,436441,6772,219890,4376,216551,4409,3.1,0.5,3.2,0.6,3.0,0.6,28.2,1.4,25.6,1.8,30.8,2.0,44.8,1.5,45.8,2.0,43.8,1.9,23.9,1.4,25.4,1.8,22.4,1.6,10.0,,,,,,14.8,,,,,,15.8,,,,,,26.9,,,,,,19.4,,,,,,1.0,,,,,
0500000US12115,12115,"Sarasota County, Florida",155974,5374,80254,3460,75720,3173,89.3,1.6,88.9,2.3,89.8,1.7,83.7,2.1,83.3,2.6,84.0,2.6,5.6,1.2,5.5,1.4,5.8,1.6,4.6,1.1,4.8,1.3,4.2,1.4,0.7,0.4,0.5,0.5,1.0,0.5,0.3,0.2,0.2,0.1,0.5,0.3,1.04,0.01,1.03,0.01,1.04,0.01,0.8,0.4,1.1,0.6,0.5,0.4,0.8,0.4,1.2,0.7,0.3,0.3,0.8,0.4,1.0,0.5,0.6,0.4,1.1,0.5,1.1,0.7,1.1,0.6,7.2,1.1,6.8,1.5,7.6,1.4,98.3,0.5,97.6,0.8,99.0,0.6,85.4,1.7,83.1,2.4,87.8,2.1,12.9,1.7,14.5,2.3,11.2,2.0,1.7,0.5,2.4,0.8,1.0,0.6,78.6,2.3,78.3,2.7,78.9,2.8,22.1,2.0,23.0,2.6,21.2,2.6,56.5,2.5,55.4,3.1,57.7,3.2,21.4,2.3,21.7,2.7,21.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,144777,5353,74822,3539,69955,3041,4.2,1.0,4.8,1.5,3.5,1.2,2.6,1.1,3.1,1.1,2.1,1.8,2.7,1.0,3.8,1.4,1.6,1.3,5.9,1.3,6.1,1.7,5.7,1.8,9.3,1.4,11.3,2.0,7.1,1.9,14.2,1.9,15.9,2.6,12.5,2.7,13.0,1.5,10.3,2.0,15.9,2.3,16.7,1.7,16.8,2.5,16.6,2.6,6.8,1.2,5.3,1.2,8.5,2.1,24.5,2.0,22.6,2.5,26.5,3.4,7.4,1.0,7.4,1.4,7.4,1.4,15.1,1.7,14.4,2.3,15.8,2.4,15.2,1.5,14.8,2.1,15.7,2.5,24.8,2.2,24.6,3.0,25.1,2.8,3.7,0.6,3.6,1.0,3.9,0.8,21.2,2.4,19.9,2.6,22.5,3.9,3.6,0.9,4.1,1.3,3.0,1.0,4.4,1.0,4.9,1.6,3.9,1.3,4.5,1.2,6.3,1.8,2.7,1.0,24.1,1.0,25.8,1.6,22.4,0.9,155858,5355,80179,3449,75679,3163,1.3,0.7,1.5,0.9,1.1,0.7,24.8,2.1,22.4,2.7,27.3,2.5,49.4,3.3,50.3,3.6,48.6,3.8,24.5,3.0,25.9,3.4,23.0,3.2,11.3,,,,,,11.9,,,,,,14.5,,,,,,37.5,,,,,,17.8,,,,,,1.9,,,,,
