GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC03_EST_VC41,HC03_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC02_EST_VC48,HC02_MOE_VC48,HC03_EST_VC48,HC03_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC02_EST_VC49,HC02_MOE_VC49,HC03_EST_VC49,HC03_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC02_EST_VC50,HC02_MOE_VC50,HC03_EST_VC50,HC03_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC02_EST_VC51,HC02_MOE_VC51,HC03_EST_VC51,HC03_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC03_EST_VC53,HC03_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC03_EST_VC54,HC03_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC03_EST_VC55,HC03_MOE_VC55,HC01_EST_VC58,HC01_MOE_VC58,HC02_EST_VC58,HC02_MOE_VC58,HC03_EST_VC58,HC03_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC02_EST_VC59,HC02_MOE_VC59,HC03_EST_VC59,HC03_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC02_EST_VC60,HC02_MOE_VC60,HC03_EST_VC60,HC03_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC02_EST_VC61,HC02_MOE_VC61,HC03_EST_VC61,HC03_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC02_EST_VC62,HC02_MOE_VC62,HC03_EST_VC62,HC03_MOE_VC62,HC01_EST_VC65,HC01_MOE_VC65,HC02_EST_VC65,HC02_MOE_VC65,HC03_EST_VC65,HC03_MOE_VC65,HC01_EST_VC66,HC01_MOE_VC66,HC02_EST_VC66,HC02_MOE_VC66,HC03_EST_VC66,HC03_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC02_EST_VC67,HC02_MOE_VC67,HC03_EST_VC67,HC03_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC02_EST_VC68,HC02_MOE_VC68,HC03_EST_VC68,HC03_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC02_EST_VC69,HC02_MOE_VC69,HC03_EST_VC69,HC03_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC02_EST_VC70,HC02_MOE_VC70,HC03_EST_VC70,HC03_MOE_VC70
0500000US12057,12057,"Hillsborough County, Florida",602598,7571,314764,4759,287834,5954,90.0,0.7,89.7,1.1,90.3,0.8,81.8,0.9,81.1,1.3,82.6,1.2,8.2,0.6,8.6,0.8,7.7,0.8,6.7,0.6,6.8,0.7,6.6,0.7,0.8,0.2,0.8,0.2,0.8,0.2,0.7,0.2,1.1,0.4,0.3,0.1,1.05,0.01,1.06,0.01,1.05,0.01,1.3,0.3,1.2,0.4,1.4,0.4,1.8,0.4,1.9,0.6,1.7,0.4,0.8,0.2,1.2,0.3,0.4,0.2,1.3,0.3,1.8,0.4,0.9,0.3,4.8,0.5,4.3,0.7,5.3,0.8,99.3,0.2,99.0,0.3,99.6,0.2,88.4,0.6,87.5,0.8,89.3,0.9,10.9,0.6,11.4,0.8,10.3,0.9,0.7,0.2,1.0,0.3,0.4,0.2,94.0,0.6,93.6,0.8,94.4,0.6,29.9,1.0,29.3,1.4,30.5,1.4,64.1,1.0,64.3,1.6,63.9,1.3,6.0,0.6,6.4,0.8,5.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,573724,7760,301289,5019,272435,6325,3.2,0.5,4.3,0.7,2.1,0.5,2.5,0.4,3.6,0.6,1.2,0.3,3.4,0.4,4.4,0.6,2.4,0.4,8.5,0.6,10.2,1.0,6.5,0.8,9.5,0.7,9.7,0.9,9.4,0.9,18.9,1.0,18.0,1.4,19.8,1.3,11.1,0.8,10.7,1.0,11.6,0.9,14.2,0.9,12.9,1.1,15.5,1.3,5.7,0.6,4.4,0.7,7.2,0.8,23.0,1.1,21.7,1.4,24.3,1.7,9.6,0.8,9.2,1.1,10.1,0.9,11.7,0.6,12.2,0.9,11.0,0.9,14.4,0.8,13.1,1.0,15.8,1.2,17.0,1.0,16.5,1.4,17.7,1.2,6.9,0.6,7.0,0.8,6.8,0.7,16.6,0.8,17.1,1.2,16.2,1.1,8.1,0.6,8.0,0.9,8.1,0.9,9.3,0.7,9.6,1.0,9.1,0.9,6.3,0.6,7.3,1.0,5.1,0.7,26.0,0.5,26.8,0.7,25.1,0.5,598515,7631,312558,4719,285957,5972,2.7,0.5,3.1,0.7,2.3,0.6,26.5,1.3,23.5,1.6,29.8,1.6,45.1,1.8,46.3,2.0,43.7,2.0,25.7,1.7,27.1,1.9,24.1,1.8,9.7,,,,,,11.2,,,,,,13.1,,,,,,19.9,,,,,,16.1,,,,,,1.5,,,,,
0500000US12081,12081,"Manatee County, Florida",134447,4654,70834,3026,63613,3484,88.5,1.7,87.5,2.4,89.6,2.0,78.8,2.2,76.8,3.3,80.9,2.9,9.7,1.5,10.7,2.5,8.7,1.8,6.1,1.3,5.6,1.6,6.7,1.7,2.1,0.9,2.4,1.5,1.6,0.8,1.6,1.0,2.6,1.9,0.4,0.4,1.07,0.01,1.08,0.02,1.06,0.01,0.7,0.4,0.7,0.5,0.8,0.5,2.2,0.9,2.3,1.1,1.9,1.1,0.4,0.3,0.5,0.5,0.4,0.5,1.3,0.5,1.6,0.7,0.9,0.6,6.9,1.4,7.3,1.9,6.4,1.6,98.4,0.6,98.0,0.9,98.9,0.6,70.5,2.3,67.3,3.3,74.0,2.8,27.9,2.4,30.7,3.3,24.9,2.8,1.6,0.6,2.0,0.9,1.1,0.6,40.7,2.6,39.9,3.5,41.6,3.2,8.5,1.2,8.2,1.7,8.9,1.5,32.2,2.2,31.8,3.0,32.7,2.6,59.3,2.6,60.1,3.5,58.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,125176,4678,65647,3047,59529,3586,3.0,1.1,3.8,1.7,2.1,0.9,2.6,1.1,3.9,1.8,1.3,0.8,3.5,1.0,4.2,1.5,2.7,1.6,7.3,1.7,8.8,2.9,5.8,1.7,11.3,1.9,10.5,2.2,12.2,2.6,15.0,2.0,16.5,2.7,13.4,2.7,13.7,1.8,13.1,2.6,14.4,2.6,14.4,1.8,14.3,2.5,14.5,2.9,5.1,1.1,3.9,1.0,6.5,1.9,24.0,2.5,21.1,3.0,27.2,3.4,10.3,1.5,9.1,2.0,11.7,2.1,13.9,2.2,13.6,2.7,14.1,2.8,16.1,1.7,16.2,2.6,15.9,2.4,17.2,2.0,16.4,2.5,18.0,2.9,7.5,1.4,5.6,1.5,9.7,2.4,16.2,2.1,17.6,2.9,14.6,3.0,5.8,1.1,6.1,1.6,5.4,1.5,8.9,2.0,10.4,2.8,7.4,2.0,4.2,1.0,5.0,1.5,3.3,1.4,24.6,1.0,25.9,1.6,23.1,1.2,133014,4692,69420,3090,63594,3486,1.8,0.6,1.7,0.8,1.9,0.9,24.8,2.6,22.5,3.2,27.4,3.6,49.6,3.5,50.9,4.0,48.2,4.1,23.8,2.9,25.0,3.4,22.5,3.5,21.7,,,,,,24.6,,,,,,25.7,,,,,,34.0,,,,,,27.1,,,,,,2.4,,,,,
0500000US12103,12103,"Pinellas County, Florida",418150,6567,210013,4504,208137,4236,88.6,0.9,86.9,1.2,90.4,1.1,81.0,1.3,78.2,1.7,83.7,1.5,7.7,0.9,8.6,1.2,6.7,1.0,6.7,0.8,7.6,1.2,5.7,0.9,0.7,0.2,0.7,0.3,0.7,0.3,0.3,0.2,0.3,0.2,0.3,0.2,1.05,0.01,1.05,0.01,1.04,0.01,2.1,0.4,1.9,0.6,2.2,0.6,1.2,0.3,1.2,0.4,1.2,0.4,1.1,0.3,1.8,0.5,0.3,0.2,1.7,0.3,2.3,0.5,1.1,0.4,5.3,0.7,5.9,0.8,4.7,0.8,99.0,0.2,98.7,0.4,99.3,0.3,86.4,1.0,84.8,1.3,88.0,1.3,12.6,0.9,13.8,1.3,11.3,1.3,1.0,0.2,1.3,0.4,0.7,0.3,89.1,0.9,88.6,1.2,89.6,1.1,30.3,1.0,28.8,1.7,31.7,1.6,58.8,1.4,59.8,2.1,57.9,1.9,10.9,0.9,11.4,1.2,10.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,395937,7014,197656,4516,198281,4600,2.9,0.5,3.8,0.8,2.0,0.5,2.0,0.3,2.4,0.6,1.6,0.4,2.9,0.6,3.2,0.8,2.6,0.6,8.4,0.9,9.6,1.3,7.2,1.1,8.1,0.8,8.7,1.2,7.4,1.1,14.6,1.0,14.8,1.5,14.3,1.3,13.1,0.9,10.9,1.1,15.2,1.3,15.0,1.1,15.0,1.4,14.9,1.5,8.0,0.8,7.3,0.9,8.7,1.2,25.1,1.2,24.2,1.6,26.1,1.7,13.0,1.0,12.4,1.4,13.6,1.6,14.1,1.0,13.5,1.3,14.7,1.3,16.9,1.2,16.6,1.7,17.1,1.5,17.6,1.1,16.9,1.5,18.4,1.5,7.3,0.8,6.8,1.1,7.8,1.0,13.3,1.0,14.3,1.4,12.3,1.3,5.7,0.6,5.7,0.8,5.7,0.9,7.1,0.8,7.3,1.1,6.9,1.0,5.0,0.6,6.5,0.9,3.6,0.6,23.8,0.6,25.0,0.8,22.6,0.7,415972,6601,208300,4601,207672,4215,3.2,0.5,3.1,0.7,3.3,0.6,29.9,1.5,27.2,2.0,32.6,1.7,47.1,1.6,48.4,2.0,45.8,2.0,19.8,1.4,21.3,1.8,18.3,1.5,11.1,,,,,,15.2,,,,,,15.5,,,,,,27.9,,,,,,18.9,,,,,,1.9,,,,,
0500000US12115,12115,"Sarasota County, Florida",146241,5058,74635,3501,71606,3060,92.1,1.3,91.4,1.6,92.8,1.6,84.2,2.0,83.2,2.5,85.2,2.3,7.9,1.7,8.3,2.0,7.6,1.9,6.0,1.5,6.2,1.9,5.7,1.6,0.9,0.6,1.1,0.9,0.7,0.4,1.1,0.7,0.9,0.6,1.2,1.0,1.05,0.01,1.05,0.01,1.05,0.01,0.7,0.4,0.8,0.6,0.6,0.4,0.8,0.4,0.8,0.5,0.8,0.6,0.6,0.3,1.1,0.5,0.2,0.2,1.3,0.6,1.2,0.9,1.4,0.8,4.3,0.8,4.6,1.1,4.1,1.1,98.4,0.6,98.1,0.8,98.7,0.7,84.8,1.9,82.0,2.7,87.7,2.5,13.6,1.7,16.0,2.6,11.0,2.3,1.6,0.6,1.9,0.8,1.3,0.7,78.0,2.4,78.3,2.4,77.7,3.1,23.3,2.3,22.6,2.8,24.0,3.5,54.7,3.2,55.6,3.6,53.7,4.3,22.0,2.4,21.7,2.4,22.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,139888,5130,71236,3526,68652,3138,2.6,0.7,3.1,1.1,2.0,0.8,1.6,0.5,1.6,0.8,1.6,0.7,2.8,0.8,3.8,1.3,1.7,0.7,5.3,1.2,6.2,1.7,4.4,1.4,7.6,1.4,5.6,1.4,9.7,2.5,16.6,2.2,17.8,3.1,15.4,3.3,13.1,1.4,13.0,2.3,13.1,1.7,16.0,2.1,14.5,2.4,17.5,2.8,7.4,1.1,6.7,1.9,8.1,1.6,27.1,2.2,27.7,3.0,26.5,3.4,9.7,1.2,9.2,1.8,10.2,1.7,14.1,1.9,12.7,2.1,15.6,2.6,17.4,1.9,16.9,2.5,17.9,2.4,27.9,2.7,30.1,3.6,25.7,3.4,5.7,1.1,5.5,1.5,6.0,1.9,13.9,2.2,13.2,2.6,14.7,3.1,3.1,0.8,3.0,1.2,3.3,1.0,4.8,1.2,5.4,1.7,4.1,1.5,3.3,0.9,4.1,1.3,2.6,0.9,21.9,0.8,22.4,1.0,21.4,1.0,146033,5117,74510,3510,71523,3097,1.3,0.4,1.4,0.6,1.2,0.6,24.9,2.1,20.4,2.5,29.6,2.8,45.7,3.4,48.5,3.8,42.8,4.0,28.0,3.0,29.6,3.3,26.4,3.7,10.4,,,,,,11.7,,,,,,11.4,,,,,,33.6,,,,,,15.6,,,,,,1.9,,,,,
