GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC03_EST_VC41,HC03_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC02_EST_VC48,HC02_MOE_VC48,HC03_EST_VC48,HC03_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC02_EST_VC49,HC02_MOE_VC49,HC03_EST_VC49,HC03_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC02_EST_VC50,HC02_MOE_VC50,HC03_EST_VC50,HC03_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC02_EST_VC51,HC02_MOE_VC51,HC03_EST_VC51,HC03_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC03_EST_VC53,HC03_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC03_EST_VC54,HC03_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC03_EST_VC55,HC03_MOE_VC55,HC01_EST_VC59,HC01_MOE_VC59,HC02_EST_VC59,HC02_MOE_VC59,HC03_EST_VC59,HC03_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC02_EST_VC60,HC02_MOE_VC60,HC03_EST_VC60,HC03_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC02_EST_VC61,HC02_MOE_VC61,HC03_EST_VC61,HC03_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC02_EST_VC62,HC02_MOE_VC62,HC03_EST_VC62,HC03_MOE_VC62,HC01_EST_VC63,HC01_MOE_VC63,HC02_EST_VC63,HC02_MOE_VC63,HC03_EST_VC63,HC03_MOE_VC63,HC01_EST_VC66,HC01_MOE_VC66,HC02_EST_VC66,HC02_MOE_VC66,HC03_EST_VC66,HC03_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC02_EST_VC67,HC02_MOE_VC67,HC03_EST_VC67,HC03_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC02_EST_VC68,HC02_MOE_VC68,HC03_EST_VC68,HC03_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC02_EST_VC69,HC02_MOE_VC69,HC03_EST_VC69,HC03_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC02_EST_VC70,HC02_MOE_VC70,HC03_EST_VC70,HC03_MOE_VC70,HC01_EST_VC71,HC01_MOE_VC71,HC02_EST_VC71,HC02_MOE_VC71,HC03_EST_VC71,HC03_MOE_VC71
0500000US12057,12057,"Hillsborough County, Florida",584165,6473,303771,4062,280394,5224,89.9,0.8,89.3,1.2,90.6,0.9,79.3,1.1,78.2,1.6,80.4,1.2,10.7,0.8,11.1,1.1,10.2,0.8,8.9,0.7,9.4,1.1,8.4,0.8,1.2,0.3,1.1,0.4,1.3,0.4,0.6,0.2,0.6,0.3,0.5,0.2,1.07,0.01,1.07,0.01,1.06,0.01,1.4,0.3,1.7,0.4,1.0,0.3,2.0,0.4,1.9,0.5,2.1,0.5,0.8,0.3,1.2,0.5,0.4,0.2,1.1,0.2,1.3,0.4,0.8,0.3,4.8,0.5,4.5,0.6,5.1,0.6,99.2,0.2,99.0,0.3,99.5,0.2,87.3,0.8,85.1,1.0,89.7,1.0,11.9,0.8,13.9,1.0,9.8,1.0,0.8,0.2,1.0,0.3,0.5,0.2,93.8,0.6,93.5,0.7,94.2,0.7,30.4,1.0,29.8,1.4,31.0,1.2,63.4,1.0,63.7,1.6,63.2,1.3,6.2,0.6,6.5,0.7,5.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,556160,6842,290172,4353,265988,5257,2.6,0.4,3.3,0.7,1.9,0.5,3.0,0.4,4.4,0.7,1.4,0.4,3.3,0.4,4.3,0.7,2.2,0.5,8.2,0.6,10.4,0.9,5.8,0.7,9.9,0.8,9.3,0.9,10.5,1.0,17.6,1.0,16.8,1.3,18.4,1.4,11.3,0.7,10.1,1.0,12.7,0.9,14.1,0.8,14.3,1.2,13.9,1.0,5.7,0.5,5.4,0.6,6.1,0.7,24.3,1.0,21.8,1.4,27.0,1.5,9.2,0.7,8.9,1.1,9.5,0.9,12.2,0.7,11.3,1.0,13.2,1.1,16.1,1.0,16.0,1.2,16.2,1.2,16.3,0.9,16.8,1.2,15.7,1.1,7.5,0.7,6.9,0.7,8.1,1.0,15.7,0.8,16.4,1.2,14.9,1.1,7.9,0.6,7.7,0.9,8.0,0.8,9.7,0.7,10.0,0.9,9.3,1.0,5.6,0.5,6.0,0.8,5.1,0.7,25.9,0.4,26.5,0.7,25.2,0.5,579954,6496,301725,4073,278229,5194,3.0,0.5,3.1,0.6,2.9,0.5,28.4,1.5,26.1,1.9,30.8,1.7,46.2,1.5,48.1,1.9,44.3,1.7,22.4,1.3,22.8,1.5,22.0,1.4,7.1,,,,,,8.7,,,,,,10.0,,,,,,16.1,,,,,,13.4,,,,,,0.9,,,,,
0500000US12081,12081,"Manatee County, Florida",136240,4111,70154,2697,66086,2921,90.8,1.3,89.9,1.7,91.7,1.7,78.0,2.3,73.8,3.3,82.6,2.6,12.7,2.0,16.1,3.1,9.1,2.1,8.8,1.5,10.5,2.2,6.9,1.5,1.7,0.9,2.1,1.3,1.2,0.7,2.3,1.1,3.5,2.0,1.0,0.9,1.09,0.02,1.12,0.03,1.06,0.02,0.7,0.4,0.7,0.7,0.8,0.8,1.3,0.6,1.4,0.7,1.3,0.7,0.4,0.2,0.9,0.5,0.0,0.3,1.0,0.4,1.5,0.7,0.5,0.5,5.8,1.1,5.7,1.5,5.8,1.4,98.7,0.5,98.0,0.9,99.4,0.4,68.7,2.6,67.8,3.8,69.8,3.3,29.9,2.6,30.2,3.8,29.6,3.3,1.3,0.5,2.0,0.9,0.6,0.4,41.9,2.4,43.8,2.8,39.9,3.3,8.9,1.2,8.3,1.7,9.6,1.6,33.0,2.3,35.5,2.9,30.2,3.2,58.1,2.4,56.2,2.8,60.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,128402,4208,66157,2760,62245,2915,3.1,0.9,3.1,1.3,3.1,1.4,2.0,0.8,2.6,1.1,1.3,0.8,4.2,1.1,5.3,1.6,3.0,1.0,8.2,1.4,9.5,2.2,6.7,2.1,8.5,1.2,9.5,1.8,7.3,1.7,15.6,1.6,13.8,2.2,17.4,2.5,15.8,1.7,12.3,2.1,19.6,2.9,12.4,1.7,12.5,2.3,12.2,2.3,6.3,1.1,4.6,1.3,8.0,1.8,24.0,2.5,26.6,3.4,21.3,2.8,12.2,1.9,10.6,3.0,13.9,2.5,14.4,1.8,13.6,2.5,15.4,2.2,15.8,1.7,17.5,2.4,13.9,2.5,17.8,2.0,18.3,2.8,17.2,2.1,6.4,1.1,5.7,1.5,7.2,1.7,13.8,1.8,14.0,2.5,13.6,2.5,6.5,1.3,5.0,1.4,8.1,2.2,7.8,1.3,9.2,2.2,6.2,1.4,5.2,1.1,6.0,1.6,4.4,1.5,24.3,1.1,25.5,1.5,23.0,1.4,135234,4154,69513,2695,65721,2921,2.2,0.8,2.8,1.2,1.5,1.0,24.8,2.5,24.0,3.1,25.7,3.3,45.1,3.5,45.6,4.0,44.6,3.7,27.9,3.0,27.6,3.7,28.2,3.2,12.9,,,,,,16.0,,,,,,16.1,,,,,,22.0,,,,,,19.3,,,,,,1.7,,,,,
0500000US12103,12103,"Pinellas County, Florida",406917,6132,207190,4101,199727,4059,88.6,0.9,87.0,1.2,90.3,1.0,80.2,1.1,78.0,1.4,82.4,1.3,8.4,0.8,9.0,1.1,7.9,0.9,7.2,0.7,7.9,1.0,6.6,0.8,0.8,0.3,0.7,0.4,0.9,0.3,0.4,0.1,0.4,0.2,0.4,0.2,1.05,0.01,1.06,0.01,1.05,0.01,1.5,0.3,1.5,0.5,1.5,0.4,1.5,0.3,1.5,0.4,1.5,0.4,1.1,0.3,1.8,0.5,0.3,0.2,1.5,0.4,2.1,0.7,0.9,0.4,5.8,0.6,6.1,0.7,5.5,0.7,98.9,0.3,98.2,0.6,99.5,0.3,86.4,0.9,84.4,1.5,88.4,1.2,12.5,0.9,13.8,1.4,11.1,1.3,1.1,0.3,1.8,0.6,0.5,0.3,88.1,1.0,88.1,1.1,88.2,1.3,30.7,1.2,30.6,1.6,30.8,1.5,57.4,1.4,57.5,1.9,57.3,1.7,11.9,1.0,11.9,1.1,11.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,383185,6576,194475,3903,188710,4455,2.5,0.5,3.8,0.9,1.2,0.4,2.0,0.4,2.6,0.7,1.3,0.4,3.3,0.4,3.7,0.7,2.8,0.7,6.9,0.8,7.2,1.1,6.5,0.9,8.5,0.7,9.9,1.1,7.1,0.9,14.4,1.0,15.0,1.4,13.9,1.4,13.7,0.9,12.8,1.1,14.7,1.3,15.3,1.0,14.1,1.3,16.5,1.2,8.1,0.7,6.4,0.9,9.8,1.2,25.3,1.0,24.5,1.4,26.2,1.7,11.2,1.0,11.3,1.3,11.1,1.2,14.6,0.9,13.2,1.1,16.0,1.4,17.6,1.1,17.1,1.4,18.1,1.4,17.6,0.9,16.8,1.4,18.4,1.5,6.8,0.6,6.7,0.8,7.0,0.9,15.0,0.9,15.5,1.2,14.5,1.3,5.5,0.5,5.9,0.7,5.1,0.8,6.7,0.6,7.2,0.9,6.2,0.9,5.0,0.6,6.3,1.0,3.6,0.6,24.0,0.6,25.6,0.9,22.4,0.6,404890,6177,206048,4111,198842,4081,3.9,0.7,4.2,0.9,3.6,0.8,28.8,1.4,26.5,1.7,31.3,1.8,47.0,1.7,48.9,2.0,44.9,2.0,20.3,1.4,20.4,1.7,20.3,1.5,7.4,,,,,,11.0,,,,,,11.4,,,,,,19.4,,,,,,13.9,,,,,,1.3,,,,,
0500000US12115,12115,"Sarasota County, Florida",150310,3612,73922,2490,76388,2569,90.0,1.3,88.1,1.9,91.8,1.4,82.3,1.8,80.4,2.6,84.1,2.2,7.7,1.5,7.7,2.1,7.7,2.0,6.1,1.3,5.2,1.5,6.9,1.9,1.4,0.8,2.1,1.6,0.7,0.4,0.3,0.2,0.3,0.3,0.2,0.2,1.05,0.01,1.05,0.02,1.05,0.01,0.8,0.4,0.5,0.3,1.1,0.7,1.0,0.4,0.9,0.5,1.1,0.5,0.8,0.4,0.7,0.4,0.9,0.6,1.7,0.7,2.6,1.4,0.7,0.5,5.7,1.0,7.2,1.5,4.3,1.0,98.5,0.5,97.7,1.0,99.4,0.3,82.3,2.1,81.9,2.4,82.7,2.9,16.2,2.1,15.8,2.5,16.7,2.9,1.5,0.5,2.3,1.0,0.6,0.3,81.7,1.9,81.0,2.5,82.4,2.1,20.1,2.6,20.4,3.3,19.8,2.9,61.7,2.8,60.7,3.6,62.7,3.2,18.3,1.9,19.0,2.5,17.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,141739,3805,68632,2525,73107,2685,3.1,0.7,4.9,1.4,1.4,0.7,1.7,0.6,1.9,0.9,1.5,0.8,2.6,0.8,3.6,1.3,1.6,0.8,4.7,0.9,6.4,1.5,3.1,1.2,8.8,1.5,8.4,2.0,9.2,2.1,19.0,2.6,19.3,3.3,18.7,3.3,13.6,1.9,14.0,2.4,13.2,2.5,13.8,1.6,12.6,2.1,14.9,2.2,6.6,1.3,5.0,1.6,8.0,1.8,26.2,2.2,23.8,3.1,28.3,3.1,10.3,1.2,8.2,1.8,12.3,2.1,14.7,1.7,15.1,2.4,14.4,2.1,17.0,2.0,16.7,2.7,17.3,2.8,19.7,2.0,18.9,3.0,20.4,2.6,6.3,1.2,5.0,1.4,7.5,1.7,20.2,2.6,21.7,3.5,18.8,2.8,4.2,1.2,4.8,2.2,3.7,1.0,4.7,1.0,5.6,1.4,3.8,1.4,3.0,0.7,4.1,1.3,2.0,0.7,22.4,0.8,24.1,1.3,20.9,0.8,149896,3594,73764,2492,76132,2547,2.0,0.6,1.6,0.7,2.3,0.8,27.0,2.1,22.5,2.2,31.3,3.0,47.3,3.2,51.0,3.4,43.6,3.9,23.8,3.0,24.9,3.7,22.7,3.0,8.7,,,,,,10.4,,,,,,10.1,,,,,,23.8,,,,,,13.8,,,,,,2.4,,,,,
